Sun Jun  5 17:34:17 2016, 1465140857.850, 14967.739, 14967.359,    10.953,     0.151,    72.536,     1.654,   613.675, 24092.656
Sun Jun  5 17:35:24 2016, 1465140924.555, 15034.654, 15034.292,    10.952,     0.149,    73.503,     1.632,   616.440, 24201.599
Sun Jun  5 19:55:48 2016, 1465149348.734, 17707.430, 17707.430,    10.930,     0.149,    73.562,     1.624,   726.686, 28542.682
Sun Jun  5 19:55:48 2016, 1465149348.734, 18007.443, 18007.443,    10.918,     0.149,    73.479,     1.622,   739.022, 29027.813
Sun Jun  5 19:55:48 2016, 1465149348.734, 18307.646, 18307.646,    10.912,     0.148,    73.938,     1.610,   751.373, 29513.283
Sun Jun  5 19:55:48 2016, 1465149348.734, 18607.650, 18607.650,    10.898,     0.147,    74.054,     1.604,   763.699, 29997.510
Sun Jun  5 19:55:48 2016, 1465149348.734, 18907.838, 18907.838,    10.910,     0.148,    73.842,     1.612,   776.035, 30482.158
Sun Jun  5 19:55:48 2016, 1465149348.734, 19208.053, 19208.053,    10.901,     0.148,    73.695,     1.612,   788.404, 30967.855
Sun Jun  5 19:55:48 2016, 1465149348.734, 19508.254, 19508.254,    10.908,     0.149,    73.251,     1.624,   800.805, 31454.637
Sun Jun  5 19:55:48 2016, 1465149348.734, 19808.336, 19808.336,    10.894,     0.149,    72.954,     1.627,   813.206, 31941.209
Sun Jun  5 19:55:48 2016, 1465149348.734, 20108.553, 20108.553,    10.891,     0.149,    72.851,     1.628,   825.650, 32429.369
Sun Jun  5 19:55:48 2016, 1465149348.734, 20408.771, 20408.771,    10.897,     0.148,    73.543,     1.615,   838.087, 32917.031
Sun Jun  5 19:55:48 2016, 1465149348.734, 20708.869, 20708.869,    10.884,     0.149,    73.168,     1.619,   850.477, 33402.609
Sun Jun  5 19:55:48 2016, 1465149348.734, 21009.094, 21009.094,    10.870,     0.149,    72.710,     1.625,   862.906, 33889.539
Sun Jun  5 19:55:48 2016, 1465149348.734, 21309.098, 21309.098,    10.870,     0.147,    73.904,     1.599,   875.290, 34374.418
Sun Jun  5 19:55:48 2016, 1465149348.734, 21609.295, 21609.295,    10.872,     0.147,    73.749,     1.603,   887.634, 34857.602
Sun Jun  5 19:55:48 2016, 1465149348.734, 21909.494, 21909.494,    10.855,     0.148,    73.469,     1.604,   899.993, 35341.109
Sun Jun  5 19:55:48 2016, 1465149348.734, 22209.494, 22209.494,    10.860,     0.147,    74.091,     1.592,   912.298, 35822.559
Sun Jun  5 19:55:48 2016, 1465149348.734, 22509.717, 22509.717,    10.861,     0.148,    73.179,     1.612,   924.642, 36305.406
Sun Jun  5 19:55:48 2016, 1465149348.734, 22809.914, 22809.914,    10.853,     0.147,    73.663,     1.599,   936.976, 36787.602
Sun Jun  5 19:55:48 2016, 1465149348.734, 23110.008, 23110.008,    10.855,     0.147,    73.760,     1.598,   949.284, 37268.824
Sun Jun  5 19:55:48 2016, 1465149348.734, 23410.219, 23410.219,    10.858,     0.147,    73.735,     1.599,   961.612, 37750.570
Sun Jun  5 19:55:53 2016, 1465149353.149, 23461.603, 23461.244,    10.849,     0.148,    73.304,     1.606,   963.674, 37831.816
Sun Jun  5 19:57:00 2016, 1465149420.201, 23528.781, 23528.419,    10.853,     0.148,    73.331,     1.606,   966.431, 37939.468
Sun Jun  5 19:58:06 2016, 1465149486.852, 23595.343, 23594.982,    10.857,     0.148,    73.358,     1.607,   969.153, 38045.757
Sun Jun  5 19:59:13 2016, 1465149553.709, 23662.083, 23661.724,    10.861,     0.148,    73.385,     1.607,   971.880, 38152.261
Sun Jun  5 20:00:20 2016, 1465149620.272, 23728.613, 23728.253,    10.844,     0.147,    73.769,     1.594,   974.603, 38258.644
Sun Jun  5 20:01:27 2016, 1465149687.030, 23795.314, 23794.945,    10.860,     0.148,    73.378,     1.607,   977.337, 38365.425
Sun Jun  5 20:02:33 2016, 1465149753.526, 23861.796, 23861.435,    10.841,     0.149,    72.758,     1.615,   980.068, 38472.218
Sun Jun  5 20:03:40 2016, 1465149820.219, 23928.505, 23928.144,    10.855,     0.148,    73.345,     1.607,   982.810, 38579.425
Sun Jun  5 20:04:47 2016, 1465149887.087, 23995.935, 23995.341,    10.853,     0.146,    74.336,     1.585,   985.568, 38687.246
Sun Jun  5 20:11:31 2016, 1465150291.079, 24010.553, 24010.553,    10.857,     0.148,    73.401,     1.606,   986.223, 38712.191
Sun Jun  5 20:11:31 2016, 1465150291.079, 24310.580, 24310.580,    10.845,     0.148,    73.316,     1.604,   998.513, 39192.621
Sun Jun  5 20:11:35 2016, 1465150295.599, 24405.058, 24404.689,    10.848,     0.149,    72.805,     1.616,  1002.345, 39343.097
Sun Jun  5 20:12:42 2016, 1465150362.610, 24472.001, 24471.642,    10.860,     0.148,    73.378,     1.607,  1005.098, 39450.683
Sun Jun 12 17:01:47 2016, 1465743707.678,     0.001,     0.001,    -0.060,     0.090,    -0.663,    -0.005,     0.000,    -0.000
Sun Jun 12 17:01:47 2016, 1465743707.678,    64.049,     0.001,     9.176,    -0.007, -1376.351,    -0.061,    -0.000,    -0.000
Sun Jun 12 17:01:51 2016, 1465743711.492,   272.004,   207.596,     9.004,    -0.027,  -333.481,    -0.243,    -1.533,   -50.030
Sun Jun 12 17:02:58 2016, 1465743778.361,   339.124,   274.714,     9.011,    -0.026,  -346.577,    -0.234,    -2.040,   -66.488
Sun Jun 12 17:04:05 2016, 1465743845.290,   405.983,   341.574,     8.984,    -0.026,  -345.538,    -0.234,    -2.539,   -82.613
Sun Jun 12 17:05:12 2016, 1465743912.098,   472.563,   408.156,     8.970,    -0.027,  -332.222,    -0.242,    -3.030,   -98.474
